CAN,US,Virulence,Yr1,Yr5,Yr6,Yr7,Yr8,Yr9,Yr10,Yr15,Yr17,Yr24,Yr27,Yr32,Yr43,Yr44,YrSP,YrTr1,YrExp2,YrTye,
-,PSTv-129,"1,9,17,44,Exp2",v,a,a,a,a,v,a,a,v,a,a,a,a,v,a,a,v,a,
-,PSTv-130,"44,Exp2",a,a,a,a,a,a,a,a,a,a,a,a,a,v,a,a,v,a,
-,PSTv-131,"6,7,8,43,44,Exp2",a,a,v,v,v,a,a,a,a,a,a,a,v,v,a,a,v,a,
-,PSTv-132,"7,8,17,24,43,44,Exp2",a,a,a,v,v,a,a,a,v,v,a,a,v,v,a,a,v,a,
-,PSTv-133,"7,8,17,43,44,Exp2",a,a,a,v,v,a,a,a,v,a,a,a,v,v,a,a,v,a,
-,PSTv-134,"7,8,43,44,Exp2",a,a,a,v,v,a,a,a,a,a,a,a,v,v,a,a,v,a,
-,PSTv-135,"8,17,44,Exp2",a,a,a,a,v,a,a,a,v,a,a,a,a,v,a,a,v,a,
-,PSTv-136,"8,43,44,Exp2",a,a,a,a,v,a,a,a,a,a,a,a,v,v,a,a,v,a,
-,PSTv-137,"8,44,Exp2",a,a,a,a,v,a,a,a,a,a,a,a,a,v,a,a,v,a,
-,PSTv-138,"8,9,44,SP,Exp2,Tye",a,a,a,a,v,v,a,a,a,a,a,a,a,v,v,a,v,v,
-,PSTv-139,"6,7,8,9,27,44,Exp2",a,a,v,v,v,v,a,a,a,a,v,a,a,v,a,a,v,a,
-,PSTv-140,"1,7,9,44,Tye",v,a,a,v,a,v,a,a,a,a,a,a,a,v,a,a,a,v,
-,PSTv-141,"1,6,7,9,27,44,Tye",v,a,v,v,v,a,a,a,a,a,v,a,a,v,a,a,a,v,
-,PSTv-142,"6,7,9,44,Exp2",a,a,v,v,a,v,a,a,a,a,a,a,a,v,a,a,v,a,
-,PSTv-143,"1,6,9,SP,Tr1,Tye",v,a,v,a,a,v,a,a,a,a,a,a,a,a,v,v,a,v,
-,PSTv-144,"1,6,7,8,9,17,27,43,44,SP,Exp2",v,a,v,v,v,v,a,a,v,a,v,a,v,v,v,a,v,a,
-,PSTv-146,32,a,a,a,a,a,a,a,a,a,a,a,v,a,a,a,a,a,a,
-,PSTv-147,"1,7",v,a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,a,a,
-,PSTv-148,44,a,a,a,a,a,a,a,a,a,a,a,a,a,v,a,a,a,a,
-,PSTv-149,"1,7,44,Exp2",v,a,a,v,a,a,a,a,a,a,a,a,a,v,a,a,v,a,
-,PSTv-150,"1,7,Exp2",v,a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,v,a,
-,PSTv-151,"6,44,Exp2",a,a,v,a,a,a,a,a,a,a,a,a,a,v,a,a,v,a,
-,PSTv-152,"1,6,7,Exp2",v,a,v,v,a,a,a,a,a,a,a,a,a,a,a,a,v,a,
-,PSTv-153,"6,7,17,44",a,a,v,v,a,a,a,a,v,a,a,a,a,v,a,a,a,a,
-,PSTv-154,"1,6,7,27,SP,Tye",v,a,v,v,a,a,a,a,a,a,v,a,a,a,v,a,a,v,
-,PSTv-155,"43,44,Exp2",a,a,a,a,a,a,a,a,a,a,a,a,v,v,a,a,v,a,
-,PSTv-156,"6,7,17,43,Exp2",a,a,v,v,a,a,a,a,v,a,a,a,v,a,a,a,v,a,
-,PSTv-157,"44,Exp2,Tye",a,a,a,a,a,a,a,a,a,a,a,a,a,v,a,a,v,v,
-,PSTv-158,"6,7,17,27,Exp2",a,a,v,v,a,a,a,a,v,a,v,a,a,a,a,a,v,a,
-,PSTv-159,"6,17,27,43,44",a,a,v,a,a,a,a,a,v,a,v,a,v,v,a,a,a,a,
-,PSTv-160,24,a,a,a,a,a,a,a,a,a,v,a,a,a,a,a,a,a,a,
-,PSTv-161,"10,24,32,43,44,SP",a,a,a,a,a,a,v,a,a,v,a,v,v,v,v,a,a,a,
-,PSTv-162,"1,7,17,44,Exp2",v,a,a,v,a,a,a,a,v,a,a,a,a,v,a,a,v,a,
-,PSTv-163,"6,7,17,43,44",a,a,v,v,a,a,a,a,v,a,a,a,v,v,a,a,a,a,
-,PSTv-164,"7,27,SP,Tr1",a,a,a,v,a,a,a,a,a,a,v,a,a,a,v,v,a,a,
-,PSTv-165,"6,44,Exp2,Tye",a,a,v,a,a,a,a,a,a,a,a,a,a,v,a,a,v,v,
-,PSTv-166,"10,24,32,44",a,a,a,a,a,a,v,a,a,v,a,v,a,v,a,a,a,a,
-,PSTv-167,"6,7,Tye",a,a,v,v,a,a,a,a,a,a,a,a,a,a,a,a,a,v,
-,PSTv-168,"1,6,7,24,Exp2",v,a,v,v,a,a,a,a,a,v,a,a,a,a,a,a,v,a,
-,PSTv-169,"6,44,Tr1,",a,a,v,a,a,a,a,a,a,a,a,a,a,v,a,v,a,a,
-,PSTv-170,"6,27,44,Tr1",a,a,v,a,a,a,a,a,a,a,v,a,a,v,a,v,a,a,
-,PSTv-171,"1,44,SP,Tye",v,a,a,a,a,a,a,a,a,a,a,a,a,v,v,a,a,v,
-,PSTv-172,"6,10,24,44,Tr1",a,a,v,a,a,a,v,a,a,v,a,a,a,v,a,v,a,a,
-,PSTv-173,"6,Tye",a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,a,a,v,
-,PSTv-174,"6,17,44,Tye",a,a,v,a,a,a,a,a,v,a,a,a,a,v,a,a,a,v,
-,PSTv-175,"1,6,7,9,17,27,43,44,Exp2,Tye",v,a,v,v,a,v,a,a,v,a,v,a,v,v,a,a,v,v,
-,PSTv-176,"44,Tr1",a,a,a,a,a,a,a,a,a,a,a,a,a,v,a,v,a,a,
-,PSTv-177,Tr1,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,v,a,a,
-,PSTv-178,"6,44,Tye",a,a,v,a,a,a,a,a,a,a,a,a,a,v,a,a,a,v,
-,PSTv-179,"1,Tr1",v,a,a,a,a,a,a,a,a,a,a,a,a,a,a,v,a,a,
-,PSTv-180,"1,6,7,17,27,43,44,Tye",v,a,v,v,a,a,a,a,v,a,v,a,v,v,a,a,a,v,
-,PSTv-181,"6,10,24,32,44,Tr1",a,a,v,a,a,a,v,a,a,v,a,v,a,v,a,v,a,a,
C-68,PSTv-182,"6,7,Exp2",a,a,v,v,a,a,a,a,a,a,a,a,a,a,a,a,v,a,
-,PSTv-183,"6,7,44,Exp2",a,a,v,v,a,a,a,a,a,a,a,a,a,v,a,a,v,a,
-,PSTv-184,"44,Tr1,Exp2",a,a,a,a,a,a,a,a,a,a,a,a,a,v,a,v,v,a,
-,PSTv-185,"6,7,44",a,a,v,v,a,a,a,a,a,a,a,a,a,v,a,a,a,a,
-,PSTv-186,"1,6,7,27,43,44,Tr1,Exp2,Tye",v,a,v,v,a,a,a,a,a,a,v,a,v,v,a,v,v,v,
-,PSTv-187,"1,6,7,27,44,Exp2,Tye",v,a,v,v,a,a,a,a,a,a,v,a,a,v,a,a,v,v,
-,PSTv-188,"6,7,44,SP,Exp2",a,a,v,v,a,a,a,a,a,a,a,a,a,v,v,a,v,a,
-,PSTv-189,"6,7,24,44,Exp2",a,a,v,v,a,a,a,a,a,v,a,a,a,v,a,a,v,a,
-,PSTv-190,"6,7,8,44,Exp2,Tye",a,a,v,v,v,a,a,a,a,a,a,a,a,v,a,a,v,v,
-,PSTv-191,"1,6,7,8,9,17,27,43,Tr1",v,a,v,v,v,v,a,a,v,a,v,a,v,a,a,v,a,a,
-,PSTv-192,"1,6,7,9,27,43,44,SP,Tr1,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,v,a,v,v,v,v,a,v,
-,PSTv-193,"1,6,9,44",v,a,v,a,a,v,a,a,a,a,a,a,a,v,a,a,a,a,
-,PSTv-194,"1,6,9,44,Tye",v,a,v,a,a,v,a,a,a,a,a,a,a,v,a,a,a,v,
-,PSTv-195,"1,6,9,Tr1,Exp2",v,a,v,a,a,v,a,a,a,a,a,a,a,a,a,v,v,a,
-,PSTv-196,"1,7,9,27,44,",v,a,a,v,a,v,a,a,a,a,v,a,a,v,a,a,a,a,
-,PSTv-197,"6,7,8,17,27,43,44,SP,Exp2",a,a,v,v,v,a,a,a,v,a,v,a,v,v,v,a,v,a,
-,PSTv-198,"6,7,8,9,27,43,44,Exp2",a,a,v,v,v,v,a,a,a,a,v,a,v,v,a,a,v,a,
-,PSTv-199,"1,8,Exp2",v,a,a,a,v,a,a,a,a,a,a,a,a,a,a,a,v,a,
-,PSTv-200,"10,17,32",a,a,a,a,a,a,v,a,v,a,a,v,a,a,a,a,a,a,
-,PSTv-201,8,a,a,a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,a,
-,PSTv-202,"1,6,7,9,17,27,SP,Tye",v,a,v,v,a,v,a,a,v,a,v,a,a,a,v,a,a,v,
-,PSTv-203,"1,6,7,9,17,43,44,SP,Tye",v,a,v,v,a,v,a,a,v,a,a,a,v,v,v,a,a,v,
-,PSTv-204,"6,7,8,10,24,43,44",a,a,v,v,v,a,v,a,a,v,a,a,v,v,a,a,a,a,
-,PSTv-205,"1,6,7,9,17,44,SP,Exp2",v,a,v,v,a,v,a,a,v,a,a,a,a,v,v,a,v,a,
-,PSTv-206,"6,7,8,17,24,32,44,Tr1,Exp2",a,a,v,v,v,a,a,a,v,v,a,v,a,v,a,v,v,a,
-,PSTv-207,"7,9,43,44,SP,Exp2",a,a,a,v,a,v,a,a,a,a,a,a,v,v,v,a,v,a,
-,PSTv-208,"1,6,7,9,27,43,Tye",v,a,v,v,a,v,a,a,a,a,v,a,v,a,a,a,a,v,
-,PSTv-209,"7,8,9,44,Exp2",a,a,a,v,v,v,a,a,a,a,a,a,a,v,a,a,v,a,
-,PSTv-210,"1,6,7,8,10,24,44,Tye",v,a,v,v,v,a,v,a,a,v,a,a,a,v,a,a,a,v,
-,PSTv-211,"1,6,7,8,9,44,SP,Tye",v,a,v,v,v,v,a,a,a,a,a,a,a,v,v,a,a,v,
-,PSTv-212,"1,6,9,17,27,44,SP,Tye",v,a,v,a,a,v,a,a,v,a,v,a,a,v,v,a,a,v,
-,PSTv-213,"1,6,8,9,10,24,32",v,a,v,a,v,v,v,a,a,v,a,v,a,a,a,a,a,a,
-,PSTv-214,"1,7,8,9,44,Exp2",v,a,a,v,v,v,a,a,a,a,a,a,a,v,a,a,v,a,
-,PSTv-215,"1,6,7,9,17,27,44,Tr1,Exp2,Tye",v,a,v,v,a,v,a,a,v,a,v,a,a,v,a,v,v,a,
-,PSTv-216,"6,7,8,27,43,44,Tye",a,a,v,v,v,a,a,a,a,a,v,a,v,v,a,a,a,v,
-,PSTv-217,"1,6,7,9,27,43,44,Tye",v,a,v,v,a,v,a,a,a,a,v,a,v,v,a,a,a,v,
-,PSTv-218,"6,7,8,9,10,24,32,43,44,SP,Tr1,Exp2",a,a,v,v,v,v,v,a,a,v,a,v,v,v,v,v,v,a,
-,PSTv-219,"1,8,9,44,Exp2",v,a,a,a,v,v,a,a,a,a,a,a,a,v,a,a,v,a,
-,PSTv-220,"1,6,7,8,9,17,27,43,44,SP,Tr1,Exp2,Tye",v,a,v,v,v,v,a,a,v,a,v,a,v,v,v,v,v,v,
-,PSTv-221,"6,7,27,43,44,Exp2",a,a,v,v,a,a,a,a,a,a,v,a,v,v,a,a,v,a,
-,PSTv-222,"6,7,9,10,27,32,43,44,Tr1,Exp2",a,a,v,v,a,v,v,a,a,a,v,v,v,v,a,v,v,a,
-,PSTv-223,"1,7,8,9,44",v,a,a,v,v,v,a,a,a,a,a,a,a,v,a,a,a,a,
-,PSTv-224,"6,7,8,10,17,24,27,32,43,44,Exp2",a,a,v,v,v,a,v,a,v,v,v,v,v,v,a,a,v,a,
-,PSTv-225,"1,6,7,9,27,43,44,SP,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,v,a,v,v,v,a,v,v,
-,PSTv-226,"1,6,7,27,43,44,SP,Exp2,Tye",v,a,v,v,a,a,a,a,a,a,v,a,v,v,v,a,v,v,
-,PSTv-227,"1,6,7,9,27,43,44,SP,Exp2",v,a,v,v,a,v,a,a,a,a,v,a,v,v,v,a,v,a,
-,PSTv-228,"1,6,7,9,27,44,SP,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,v,a,a,v,v,a,v,v,
-,PSTv-229,"1,6,7,8,9,43,44,SP,Exp2,Tye",v,a,v,v,v,v,a,a,a,a,a,a,v,v,v,a,v,a,
